date,amount,merchant,description
2025-06-19,833.82,Target,Clothing and accessories
2025-07-28,933.33,Spotify,Monthly subscription
2024-11-29,513.78,Staples,Office supplies
2025-06-26,421.34,Staples,Office supplies
2024-10-02,980.44,Spotify,Monthly subscription
2024-11-22,462.22,Apple,MacBook purchase for work
2025-02-04,389.75,WeWork,Coworking space rental
2025-04-19,513.16,Netflix,Streaming subscription
2024-10-11,865.39,WeWork,Coworking space rental
2025-07-26,774.95,Staples,Office supplies
2024-10-14,420.79,Southwest Airlines,Flight for vacation
2024-09-14,512.66,Best Buy,TV and electronics
2024-10-24,12.54,Southwest Airlines,Flight for vacation
2024-09-11,305.57,Shell,Gas for car
2024-12-30,584.12,Netflix,Streaming subscription
2025-01-12,494.74,Target,Clothing and accessories
2025-06-02,452.08,WeWork,Coworking space rental
2025-07-21,351.67,Spotify,Monthly subscription
2024-08-02,765.24,Amazon,Books and home items
2025-05-19,460.79,Walmart,Groceries and household supplies
2025-03-04,870.91,Coursera,Online business course
2025-01-11,246.42,Shell,Gas for car
2025-02-19,241.23,Walmart,Groceries and household supplies
2025-03-22,416.67,Best Buy,TV and electronics
2024-11-06,747.26,Coursera,Online business course
2024-09-21,914.3,Shell,Gas for car
2025-03-30,392.22,Walmart,Groceries and household supplies
2025-02-28,794.47,Target,Clothing and accessories
2025-05-17,981.01,Target,Clothing and accessories
2025-03-06,965.18,Spotify,Monthly subscription
2025-06-27,507.27,WeWork,Coworking space rental
2025-02-22,338.67,Netflix,Streaming subscription
2024-11-27,875.45,Uber,Ride to office
2025-05-14,108.71,Spotify,Monthly subscription
2025-05-18,25.19,Spotify,Monthly subscription
2025-06-06,415.88,WeWork,Coworking space rental
2024-08-23,970.26,Target,Clothing and accessories
2025-06-27,474.8,Uber,Ride to office
2024-09-13,345.18,Staples,Office supplies
2025-04-26,403.51,Shell,Gas for car
2025-03-25,853.25,Uber,Ride to office
2025-07-22,677.61,Southwest Airlines,Flight for vacation
2025-07-16,386.21,Amazon,Books and home items
2024-08-01,630.53,Coursera,Online business course
2025-05-23,493.07,Best Buy,TV and electronics
2025-05-21,45.54,Amazon,Books and home items
2024-09-09,242.42,Uber,Ride to office
2024-12-15,921.72,Target,Clothing and accessories
2025-03-11,749.3,Apple,MacBook purchase for work
2024-08-16,978.55,Walmart,Groceries and household supplies
2024-11-04,637.41,Best Buy,TV and electronics
2024-12-13,109.5,Southwest Airlines,Flight for vacation
2025-06-02,697.06,WeWork,Coworking space rental
2024-12-21,55.53,Delta Airlines,Flight to business conference
2025-05-04,65.56,Best Buy,TV and electronics
2025-07-20,381.09,Coursera,Online business course
2025-03-19,251.76,WeWork,Coworking space rental
2024-11-02,570.27,Walmart,Groceries and household supplies
2024-08-02,188.26,Best Buy,TV and electronics
2024-10-14,88.18,WeWork,Coworking space rental
2025-06-24,388.72,Southwest Airlines,Flight for vacation
2025-03-06,248.42,Target,Clothing and accessories
2025-06-11,151.69,Netflix,Streaming subscription
2024-09-19,641.53,Spotify,Monthly subscription
2025-03-26,262.77,Spotify,Monthly subscription
2025-02-04,899.92,Delta Airlines,Flight to business conference
2024-12-27,902.2,Spotify,Monthly subscription
2025-05-17,551.13,Target,Clothing and accessories
2025-06-18,447.31,Uber,Ride to office
2025-02-11,987.78,Coursera,Online business course
2025-04-01,642.55,Staples,Office supplies
2025-04-01,693.41,Walmart,Groceries and household supplies
2024-09-13,846.85,Spotify,Monthly subscription
2024-12-19,999.38,Apple,MacBook purchase for work
2025-03-02,488.38,Southwest Airlines,Flight for vacation
2024-11-07,387.55,Apple,MacBook purchase for work
2025-07-03,579.06,Coursera,Online business course
2024-08-21,302.28,Shell,Gas for car
2025-01-05,661.65,Southwest Airlines,Flight for vacation
2024-12-10,18.02,Staples,Office supplies
2024-12-13,688.94,Southwest Airlines,Flight for vacation
2024-12-18,973.87,Shell,Gas for car
2025-06-29,747.72,Netflix,Streaming subscription
2025-05-27,905.11,Southwest Airlines,Flight for vacation
2025-02-15,777.98,Staples,Office supplies
2024-12-06,610.99,Apple,MacBook purchase for work
2025-01-14,226.81,Coursera,Online business course
2025-01-09,624.68,Apple,MacBook purchase for work
2024-11-19,758.02,Target,Clothing and accessories
2025-02-08,662.59,Best Buy,TV and electronics
2025-07-24,145.41,Southwest Airlines,Flight for vacation
2024-12-17,904.37,Uber,Ride to office
2025-07-17,49.03,Target,Clothing and accessories
2025-04-21,446.41,Best Buy,TV and electronics
2024-11-26,371.21,Netflix,Streaming subscription
2025-06-27,99.23,WeWork,Coworking space rental
2025-03-31,333.45,Staples,Office supplies
2025-02-14,183.88,Walmart,Groceries and household supplies
2024-12-15,788.65,WeWork,Coworking space rental
2024-11-29,535.54,Coursera,Online business course
2025-06-13,832.17,Staples,Office supplies
2024-11-12,914.91,Staples,Office supplies
2024-12-01,967.71,Spotify,Monthly subscription
2025-05-05,749.09,Staples,Office supplies
2025-07-03,806.19,Coursera,Online business course
2025-02-22,963.26,Spotify,Monthly subscription
2024-11-06,756.61,WeWork,Coworking space rental
2024-11-11,861.54,Apple,MacBook purchase for work
2024-11-07,677.66,Shell,Gas for car
2024-09-22,967.6,Walmart,Groceries and household supplies
2024-11-07,561.74,Best Buy,TV and electronics
2025-03-15,792.78,Uber,Ride to office
2025-06-29,271.81,Delta Airlines,Flight to business conference
2025-01-04,460.24,Uber,Ride to office
2024-12-28,751.52,Target,Clothing and accessories
2025-03-18,588.71,Staples,Office supplies
2025-07-02,642.16,Southwest Airlines,Flight for vacation
2025-04-01,117.26,Coursera,Online business course
2024-10-12,476.76,Apple,MacBook purchase for work
2025-01-19,885.39,Netflix,Streaming subscription
2025-02-12,334.73,Amazon,Books and home items
2025-03-06,229.15,Netflix,Streaming subscription
2025-03-03,639.05,Uber,Ride to office
2025-06-21,910.29,Spotify,Monthly subscription
2025-04-17,652.75,Staples,Office supplies
2025-05-27,148.38,Uber,Ride to office
2024-09-22,311.32,Delta Airlines,Flight to business conference
2024-09-01,124.96,Spotify,Monthly subscription
2024-12-09,888.39,Apple,MacBook purchase for work
2024-12-21,394.76,WeWork,Coworking space rental
2025-03-06,673.78,Coursera,Online business course
2024-08-09,699.52,Shell,Gas for car
2024-10-26,424.94,Amazon,Books and home items
2024-09-10,729.33,Shell,Gas for car
2025-07-03,658.37,Walmart,Groceries and household supplies
2024-12-01,494.45,Southwest Airlines,Flight for vacation
2025-04-23,939.66,Walmart,Groceries and household supplies
2025-01-11,42.39,Staples,Office supplies
2025-07-21,225.1,Coursera,Online business course
2025-04-28,951.05,Spotify,Monthly subscription
2024-10-18,369.06,Southwest Airlines,Flight for vacation
2025-03-06,373.66,Target,Clothing and accessories
2024-10-14,365.09,Target,Clothing and accessories
2025-04-18,283.12,Walmart,Groceries and household supplies
2025-05-25,949.52,Uber,Ride to office
2025-03-27,460.17,Southwest Airlines,Flight for vacation
2025-02-04,219.98,Target,Clothing and accessories
2024-10-06,601.17,Target,Clothing and accessories
2025-02-09,60.07,Delta Airlines,Flight to business conference
2025-01-22,251.13,Coursera,Online business course
2025-04-15,789.11,WeWork,Coworking space rental
2025-03-22,77.92,Apple,MacBook purchase for work
2024-10-21,558.67,Best Buy,TV and electronics
2025-06-17,223.79,Netflix,Streaming subscription
2025-07-20,240.67,Southwest Airlines,Flight for vacation
2025-01-05,156.08,Best Buy,TV and electronics
2024-09-14,12.81,Netflix,Streaming subscription
2025-04-03,984.19,Southwest Airlines,Flight for vacation
2025-03-31,544.81,WeWork,Coworking space rental
2025-06-05,182.75,Best Buy,TV and electronics
2024-09-30,867.78,Target,Clothing and accessories
2025-02-26,24.71,WeWork,Coworking space rental
2025-05-31,790.55,Best Buy,TV and electronics
2025-02-28,330.53,Netflix,Streaming subscription
2024-07-31,272.71,WeWork,Coworking space rental
2024-11-25,744.3,WeWork,Coworking space rental
2024-10-10,122.51,Amazon,Books and home items
2025-07-27,481.48,Uber,Ride to office
2025-06-21,368.42,Best Buy,TV and electronics
2025-06-25,117.96,Netflix,Streaming subscription
2025-05-08,229.33,Amazon,Books and home items
2024-10-03,52.93,Netflix,Streaming subscription
2025-04-30,909.66,Best Buy,TV and electronics
2024-12-07,526.24,Target,Clothing and accessories
2025-04-10,646.91,Spotify,Monthly subscription
2024-12-04,70.22,Delta Airlines,Flight to business conference
2024-09-23,848.83,Spotify,Monthly subscription
2025-05-18,689.24,Walmart,Groceries and household supplies
2024-12-20,715.28,Spotify,Monthly subscription
2025-03-18,82.76,Spotify,Monthly subscription
2025-07-27,328.89,Uber,Ride to office
2024-11-02,75.03,WeWork,Coworking space rental
2025-01-19,628.07,Staples,Office supplies
2025-02-18,552.87,Netflix,Streaming subscription
2025-03-29,387.1,Coursera,Online business course
2025-06-05,535.25,Netflix,Streaming subscription
2025-04-07,510.5,Spotify,Monthly subscription
2025-01-20,108.19,Walmart,Groceries and household supplies
2024-10-08,123.27,Shell,Gas for car
2025-02-01,654.41,Target,Clothing and accessories
2025-05-09,555.82,Best Buy,TV and electronics
2025-02-25,222.87,Southwest Airlines,Flight for vacation
2025-02-08,889.21,Spotify,Monthly subscription
2024-08-11,345.54,Walmart,Groceries and household supplies
2025-01-22,404.74,Spotify,Monthly subscription
2025-06-27,104.13,Shell,Gas for car
2024-11-17,319.4,Walmart,Groceries and household supplies
2025-06-13,380.56,Staples,Office supplies
2024-11-26,689.95,WeWork,Coworking space rental
2025-06-22,76.46,Spotify,Monthly subscription
2024-08-26,94.51,Southwest Airlines,Flight for vacation
2024-08-17,105.6,Walmart,Groceries and household supplies
2025-07-21,378.92,Shell,Gas for car
2025-05-14,560.81,WeWork,Coworking space rental
2025-07-06,957.06,Netflix,Streaming subscription
2025-04-26,336.35,Amazon,Books and home items
2025-03-27,416.7,Uber,Ride to office
2024-11-28,668.69,Southwest Airlines,Flight for vacation
2025-02-09,428.71,Best Buy,TV and electronics
2025-03-12,60.93,Shell,Gas for car
2025-05-23,604.41,Staples,Office supplies
2024-10-24,112.56,Coursera,Online business course
2025-05-24,220.61,Amazon,Books and home items
2025-05-20,487.37,Target,Clothing and accessories
2025-06-09,117.14,Southwest Airlines,Flight for vacation
2025-06-06,560.7,Southwest Airlines,Flight for vacation
2024-08-05,764.98,Uber,Ride to office
2024-12-09,233.9,Netflix,Streaming subscription
2025-02-22,846.7,Walmart,Groceries and household supplies
2025-04-22,820.24,Best Buy,TV and electronics
2025-02-18,678.23,Netflix,Streaming subscription
2025-03-21,35.99,Amazon,Books and home items
2025-03-02,831.17,Target,Clothing and accessories
2024-12-20,38.66,Staples,Office supplies
2024-12-02,705.67,Staples,Office supplies
2025-01-17,922.32,Staples,Office supplies
2025-06-07,16.04,Coursera,Online business course
2025-02-13,151.82,Southwest Airlines,Flight for vacation
2025-06-29,406.78,Target,Clothing and accessories
2025-05-25,743.56,WeWork,Coworking space rental
2025-04-07,100.84,Delta Airlines,Flight to business conference
2025-05-01,222.98,Amazon,Books and home items
2025-01-06,459.11,Walmart,Groceries and household supplies
2025-03-02,376.35,WeWork,Coworking space rental
2024-12-30,331.14,Shell,Gas for car
2024-09-17,600.26,Netflix,Streaming subscription
2024-08-11,164.02,Delta Airlines,Flight to business conference
2024-08-04,621.66,Best Buy,TV and electronics
2025-06-11,90.77,Target,Clothing and accessories
2024-08-24,665.32,Spotify,Monthly subscription
2024-08-23,611.01,Spotify,Monthly subscription
2024-08-02,280.44,Walmart,Groceries and household supplies
2024-10-21,517.22,Best Buy,TV and electronics
2025-02-19,435.61,Coursera,Online business course
2025-03-10,681.44,Staples,Office supplies
2025-03-09,491.77,Netflix,Streaming subscription
2025-02-06,315.34,Target,Clothing and accessories
2025-04-08,401.31,Apple,MacBook purchase for work
2024-08-03,64.23,Netflix,Streaming subscription
2025-07-19,308.41,Apple,MacBook purchase for work
2024-08-18,769.68,Apple,MacBook purchase for work
2025-06-23,262.96,Best Buy,TV and electronics
2025-04-21,128.78,Coursera,Online business course
2024-08-26,749.54,Spotify,Monthly subscription
2025-06-16,137.89,WeWork,Coworking space rental
2024-12-17,706.63,Amazon,Books and home items
2024-07-28,563.14,Amazon,Books and home items
2025-06-21,808.14,Target,Clothing and accessories
2025-04-23,403.1,Uber,Ride to office
2025-07-01,51.88,Shell,Gas for car
2024-09-15,465.16,Delta Airlines,Flight to business conference
2025-07-28,863.49,Uber,Ride to office
2024-12-09,434.99,Netflix,Streaming subscription
2024-09-13,712.4,Walmart,Groceries and household supplies
2025-07-02,296.62,Walmart,Groceries and household supplies
2024-10-21,30.65,Walmart,Groceries and household supplies
2024-11-28,180.15,Coursera,Online business course
2024-11-24,465.5,Netflix,Streaming subscription
2024-10-28,920.57,Shell,Gas for car
2024-09-14,442.34,Uber,Ride to office
2025-03-25,250.88,Uber,Ride to office
2024-10-21,406.45,Netflix,Streaming subscription
2025-04-14,401.81,Uber,Ride to office
2025-02-25,748.35,Staples,Office supplies
2024-09-12,339.74,Apple,MacBook purchase for work
2025-03-26,85.62,WeWork,Coworking space rental
2025-04-14,122.89,Target,Clothing and accessories
2025-05-24,201.96,Amazon,Books and home items
2025-07-03,355.88,Best Buy,TV and electronics
2025-01-18,958.64,Shell,Gas for car
2025-02-10,816.89,Target,Clothing and accessories
2025-05-08,111.78,Apple,MacBook purchase for work
2025-03-24,205.3,Staples,Office supplies
2024-08-01,161.34,Netflix,Streaming subscription
2025-02-22,658.95,Best Buy,TV and electronics
2025-04-19,951.78,WeWork,Coworking space rental
2025-01-18,499.18,Target,Clothing and accessories
2025-03-23,568.1,Best Buy,TV and electronics
2025-05-18,454.42,Netflix,Streaming subscription
2025-06-28,646.56,Netflix,Streaming subscription
2024-10-25,329.98,Netflix,Streaming subscription
2024-10-31,322.98,Target,Clothing and accessories
2024-10-14,77.6,Spotify,Monthly subscription
2025-05-29,635.07,Spotify,Monthly subscription
2024-08-19,281.93,Best Buy,TV and electronics
2024-11-27,358.42,Delta Airlines,Flight to business conference
2025-07-10,317.3,Uber,Ride to office
2024-08-19,47.23,Spotify,Monthly subscription
2025-03-10,833.38,Coursera,Online business course
2024-09-18,648.22,Uber,Ride to office
2024-12-02,99.39,Southwest Airlines,Flight for vacation
2025-07-27,512.0,Netflix,Streaming subscription
2024-12-03,584.53,Spotify,Monthly subscription
2025-06-01,741.53,Best Buy,TV and electronics
2025-06-21,455.24,Delta Airlines,Flight to business conference
2024-08-23,575.94,Best Buy,TV and electronics
2025-01-10,328.31,Apple,MacBook purchase for work
2025-06-03,506.35,Spotify,Monthly subscription
2025-05-07,456.02,Delta Airlines,Flight to business conference
2025-06-14,900.14,Best Buy,TV and electronics
2024-11-24,982.56,Coursera,Online business course
2024-10-07,509.5,Uber,Ride to office
2024-10-26,48.75,WeWork,Coworking space rental
2025-06-23,443.38,Shell,Gas for car
2024-12-29,528.83,Spotify,Monthly subscription
2025-04-28,167.16,Netflix,Streaming subscription
2024-10-26,918.76,Coursera,Online business course
2025-04-19,414.68,Walmart,Groceries and household supplies
2024-12-28,682.11,Coursera,Online business course
2024-10-04,791.33,Delta Airlines,Flight to business conference
2025-01-16,341.3,Target,Clothing and accessories
2025-01-20,103.56,Coursera,Online business course
2025-02-02,392.7,Target,Clothing and accessories
2024-09-04,726.5,Staples,Office supplies
2024-10-12,964.77,Target,Clothing and accessories
2024-08-16,874.55,Netflix,Streaming subscription
2025-02-06,90.69,Coursera,Online business course
2025-01-30,150.01,Target,Clothing and accessories
2024-09-29,317.13,Coursera,Online business course
2024-10-09,701.5,Target,Clothing and accessories
2024-08-10,137.66,Walmart,Groceries and household supplies
2025-05-02,938.62,Shell,Gas for car
2025-02-20,563.33,Staples,Office supplies
2025-03-04,793.75,Target,Clothing and accessories
2024-11-12,136.52,Southwest Airlines,Flight for vacation
2025-05-03,830.67,Shell,Gas for car
2025-07-14,997.19,Shell,Gas for car
2024-11-25,102.52,Amazon,Books and home items
2024-12-18,429.17,Target,Clothing and accessories
2025-04-05,28.05,Coursera,Online business course
2025-03-26,188.46,Staples,Office supplies
2025-07-11,348.32,Apple,MacBook purchase for work
2024-10-21,491.41,Best Buy,TV and electronics
2025-01-09,999.98,Apple,MacBook purchase for work
2025-05-09,86.39,WeWork,Coworking space rental
2025-06-06,790.24,Southwest Airlines,Flight for vacation
2025-03-24,773.17,Amazon,Books and home items
2024-11-28,741.26,Southwest Airlines,Flight for vacation
2024-09-08,47.37,Amazon,Books and home items
2024-08-19,877.63,Coursera,Online business course
2025-02-05,139.74,Netflix,Streaming subscription
2025-05-08,162.71,Walmart,Groceries and household supplies
2025-02-15,833.03,WeWork,Coworking space rental
2024-12-26,628.49,Best Buy,TV and electronics
2024-12-03,723.97,WeWork,Coworking space rental
2025-07-01,416.75,Delta Airlines,Flight to business conference
2025-03-20,722.39,Target,Clothing and accessories
2025-07-01,614.49,Spotify,Monthly subscription
2024-09-12,751.05,Best Buy,TV and electronics
2024-12-07,241.66,Spotify,Monthly subscription
2024-10-10,316.37,Apple,MacBook purchase for work
2025-06-19,786.53,Best Buy,TV and electronics
2025-03-29,202.08,Southwest Airlines,Flight for vacation
2024-08-20,947.66,Target,Clothing and accessories
2024-11-16,467.06,Spotify,Monthly subscription
2025-04-17,780.34,Staples,Office supplies
2025-01-18,532.19,Amazon,Books and home items
2024-09-04,818.72,WeWork,Coworking space rental
2025-02-17,608.62,Best Buy,TV and electronics
2025-04-16,257.5,Southwest Airlines,Flight for vacation
2025-04-28,485.78,Target,Clothing and accessories
2024-07-29,559.0,Coursera,Online business course
2025-03-24,714.29,Uber,Ride to office
2024-11-13,852.65,Amazon,Books and home items
2024-09-14,93.04,Staples,Office supplies
2024-10-01,280.06,WeWork,Coworking space rental
2025-01-31,155.88,Amazon,Books and home items
2024-10-31,100.8,Walmart,Groceries and household supplies
2025-01-21,818.54,Apple,MacBook purchase for work
2025-01-01,931.17,Coursera,Online business course
2025-03-07,62.72,Walmart,Groceries and household supplies
2024-08-17,380.22,Amazon,Books and home items
2024-09-16,994.58,Walmart,Groceries and household supplies
2024-10-13,232.29,Coursera,Online business course
2024-11-15,931.52,Coursera,Online business course
2024-10-24,717.56,Southwest Airlines,Flight for vacation
2024-08-19,793.47,Coursera,Online business course
2025-03-06,47.92,WeWork,Coworking space rental
2024-08-15,477.73,Southwest Airlines,Flight for vacation
2024-08-24,147.4,Southwest Airlines,Flight for vacation
2025-03-20,474.42,Shell,Gas for car
2025-05-31,15.2,Netflix,Streaming subscription
2024-08-10,28.81,Uber,Ride to office
2025-04-04,836.61,Apple,MacBook purchase for work
2024-10-12,940.82,Amazon,Books and home items
2024-09-04,532.49,Netflix,Streaming subscription
2024-12-31,778.41,Uber,Ride to office
2024-11-28,308.14,Apple,MacBook purchase for work
2024-11-04,246.06,Delta Airlines,Flight to business conference
2025-05-29,795.96,Target,Clothing and accessories
2024-12-22,72.18,Spotify,Monthly subscription
2024-08-25,906.1,Southwest Airlines,Flight for vacation
2024-10-11,540.69,Netflix,Streaming subscription
2025-05-29,520.22,Target,Clothing and accessories
2025-01-07,721.36,Apple,MacBook purchase for work
2024-08-28,434.95,Staples,Office supplies
2024-08-14,359.29,Netflix,Streaming subscription
2025-03-03,422.4,Netflix,Streaming subscription
2025-03-23,671.53,Target,Clothing and accessories
2025-03-01,974.91,Amazon,Books and home items
2025-03-18,953.87,Uber,Ride to office
2024-10-24,512.25,Amazon,Books and home items
2024-10-12,558.61,Amazon,Books and home items
2025-04-13,874.6,Walmart,Groceries and household supplies
2025-05-02,639.31,Delta Airlines,Flight to business conference
2025-01-15,261.11,Coursera,Online business course
2024-08-10,363.52,Delta Airlines,Flight to business conference
2024-11-24,351.35,Uber,Ride to office
2025-06-09,660.53,Shell,Gas for car
2025-07-10,773.79,Uber,Ride to office
2025-05-18,759.11,Shell,Gas for car
2024-08-25,53.89,WeWork,Coworking space rental
2024-08-23,345.16,Amazon,Books and home items
2025-01-18,183.34,Target,Clothing and accessories
2025-01-22,687.84,Best Buy,TV and electronics
2025-06-01,483.75,Shell,Gas for car
2024-12-06,813.38,WeWork,Coworking space rental
2025-05-29,718.88,Uber,Ride to office
2024-09-23,46.61,Spotify,Monthly subscription
2024-12-30,53.37,Apple,MacBook purchase for work
2024-10-07,886.93,Apple,MacBook purchase for work
2025-03-26,934.04,Coursera,Online business course
2024-07-29,404.24,Amazon,Books and home items
2025-04-04,547.6,Southwest Airlines,Flight for vacation
2025-01-19,46.25,Staples,Office supplies
2025-03-04,199.19,Target,Clothing and accessories
2024-08-29,863.52,Coursera,Online business course
2025-06-06,867.14,Delta Airlines,Flight to business conference
2025-02-02,280.48,Coursera,Online business course
2025-04-25,374.34,Best Buy,TV and electronics
2024-10-05,745.87,Walmart,Groceries and household supplies
2024-08-01,345.65,Walmart,Groceries and household supplies
2024-09-07,501.24,WeWork,Coworking space rental
2025-03-11,373.67,Spotify,Monthly subscription
2025-06-03,524.08,Best Buy,TV and electronics
2025-07-28,91.79,Best Buy,TV and electronics
2024-08-19,88.14,Walmart,Groceries and household supplies
2024-10-01,995.15,Netflix,Streaming subscription
2024-10-16,550.02,WeWork,Coworking space rental
2025-07-05,111.57,Coursera,Online business course
2024-11-03,664.31,Coursera,Online business course
2025-03-01,451.46,Staples,Office supplies
2024-08-14,431.85,Shell,Gas for car
2024-10-11,449.47,Shell,Gas for car
2024-08-18,51.93,Spotify,Monthly subscription
2025-07-07,912.49,Southwest Airlines,Flight for vacation
2025-02-22,998.17,Netflix,Streaming subscription
2024-10-10,643.07,Staples,Office supplies
2025-05-27,948.43,Best Buy,TV and electronics
2024-10-24,674.47,Uber,Ride to office
2024-11-06,369.68,Walmart,Groceries and household supplies
2025-03-28,752.4,Best Buy,TV and electronics
2025-03-08,953.26,WeWork,Coworking space rental
2025-05-17,850.18,WeWork,Coworking space rental
2025-05-01,783.5,Target,Clothing and accessories
2025-04-20,134.97,Delta Airlines,Flight to business conference
2025-04-07,780.73,Apple,MacBook purchase for work
2025-03-22,368.53,Coursera,Online business course
2024-12-27,42.06,Netflix,Streaming subscription
2025-04-07,682.27,WeWork,Coworking space rental
2025-06-05,378.29,Coursera,Online business course
2025-02-11,86.12,Best Buy,TV and electronics
2024-12-27,534.17,WeWork,Coworking space rental
2024-10-18,321.24,Walmart,Groceries and household supplies
2024-11-26,257.12,Staples,Office supplies
2025-04-12,35.65,Uber,Ride to office
2024-10-03,504.05,WeWork,Coworking space rental
2025-02-14,914.41,Walmart,Groceries and household supplies
2024-12-29,269.16,Uber,Ride to office
2025-06-10,707.0,Staples,Office supplies
2025-04-01,996.4,Apple,MacBook purchase for work
2025-04-12,697.04,Staples,Office supplies
2025-07-26,208.18,Spotify,Monthly subscription
2024-10-06,854.3,WeWork,Coworking space rental
2025-06-19,180.93,Spotify,Monthly subscription
2025-06-25,450.66,Shell,Gas for car
2025-06-14,812.41,Uber,Ride to office
2024-08-05,986.71,Southwest Airlines,Flight for vacation
2025-04-07,353.95,Target,Clothing and accessories
2024-10-11,554.5,Uber,Ride to office
2024-10-30,892.42,Staples,Office supplies
2024-12-07,165.93,Southwest Airlines,Flight for vacation
2024-11-03,928.05,Shell,Gas for car
2024-08-26,182.35,Target,Clothing and accessories
2025-03-11,513.67,Coursera,Online business course
2024-12-12,985.28,Uber,Ride to office
2024-10-28,147.49,Best Buy,TV and electronics
2025-01-13,499.08,Best Buy,TV and electronics
2025-02-15,558.48,Coursera,Online business course
2025-06-26,472.73,Coursera,Online business course
2025-01-30,138.47,Amazon,Books and home items
2025-03-11,75.09,Uber,Ride to office
2024-12-09,999.6,Walmart,Groceries and household supplies
2025-05-22,483.88,Shell,Gas for car
